item_id,category_id
食000,0
食001,0
食002,0
食003,0
食004,0
食005,0
食006,0
食007,0
食008,0
食009,0
食010,0
食011,0
食012,0
食013,0
食014,0
食015,0
食016,0
食017,0
食018,0
食019,0
食020,0
食021,0
食022,0
食023,0
食024,0
食025,0
食026,0
食027,0
食028,0
食029,0
食030,0
食031,0
食032,0
食033,0
食034,0
食035,0
食036,0
食037,0
食038,0
食039,0
食040,0
食041,0
食042,0
食043,0
食044,0
食045,0
食046,0
食047,0
食048,0
食049,0
家000,1
家001,1
家002,1
家003,1
家004,1
家005,1
家006,1
家007,1
家008,1
家009,1
家010,1
家011,1
家012,1
家013,1
家014,1
家015,1
家016,1
家017,1
家018,1
家019,1
家020,1
家021,1
家022,1
家023,1
家024,1
家025,1
家026,1
家027,1
家028,1
家029,1
家030,1
家031,1
家032,1
家033,1
家034,1
家035,1
家036,1
家037,1
家038,1
家039,1
家040,1
家041,1
家042,1
家043,1
家044,1
家045,1
家046,1
家047,1
家048,1
家049,1
数000,2
数001,2
数002,2
数003,2
数004,2
数005,2
数006,2
数007,2
数008,2
数009,2
数010,2
数011,2
数012,2
数013,2
数014,2
数015,2
数016,2
数017,2
数018,2
数019,2
数020,2
数021,2
数022,2
数023,2
数024,2
数025,2
数026,2
数027,2
数028,2
数029,2
数030,2
数031,2
数032,2
数033,2
数034,2
数035,2
数036,2
数037,2
数038,2
数039,2
数040,2
数041,2
数042,2
数043,2
数044,2
数045,2
数046,2
数047,2
数048,2
数049,2
服000,3
服001,3
服002,3
服003,3
服004,3
服005,3
服006,3
服007,3
服008,3
服009,3
服010,3
服011,3
服012,3
服013,3
服014,3
服015,3
服016,3
服017,3
服018,3
服019,3
服020,3
服021,3
服022,3
服023,3
服024,3
服025,3
服026,3
服027,3
服028,3
服029,3
服030,3
服031,3
服032,3
服033,3
服034,3
服035,3
服036,3
服037,3
服038,3
服039,3
服040,3
服041,3
服042,3
服043,3
服044,3
服045,3
服046,3
服047,3
服048,3
服049,3
