date,item_id,price
2025-04-15,食000,42.82
2025-04-15,食001,96.23
2025-04-15,食002,76.55
2025-04-15,食003,62.51
2025-04-15,食004,25.39
2025-04-15,食005,24.38
2025-04-15,食006,14.68
2025-04-15,食007,89.69
2025-04-15,食008,62.23
2025-04-15,食009,75.47
2025-04-15,食010,12.26
2025-04-15,食011,94.9
2025-04-15,食012,87.37
2025-04-15,食013,29.47
2025-04-15,食014,27.01
2025-04-15,食015,28.01
2025-04-15,食016,37.11
2025-04-15,食017,55.93
2025-04-15,食018,47.57
2025-04-15,食019,35.32
2025-04-15,食020,64.92
2025-04-15,食021,22.79
2025-04-15,食022,36.59
2025-04-15,食023,44.04
2025-04-15,食024,51.07
2025-04-15,食025,84.18
2025-04-15,食026,27.75
2025-04-15,食027,60.87
2025-04-15,食028,64.51
2025-04-15,食029,13.82
2025-04-15,食030,62.6
2025-04-15,食031,25.71
2025-04-15,食032,15.75
2025-04-15,食033,97.44
2025-04-15,食034,98.28
2025-04-15,食035,82.57
2025-04-15,食036,36.46
2025-04-15,食037,17.94
2025-04-15,食038,70.62
2025-04-15,食039,50.89
2025-04-15,食040,21.12
2025-04-15,食041,52.53
2025-04-15,食042,13.16
2025-04-15,食043,92.9
2025-04-15,食044,32.41
2025-04-15,食045,69.95
2025-04-15,食046,38.12
2025-04-15,食047,54.86
2025-04-15,食048,59.84
2025-04-15,食049,27.09
2025-04-15,家000,100.42
2025-04-15,家001,82.28
2025-04-15,家002,90.65
2025-04-15,家003,87.99
2025-04-15,家004,64.8
2025-04-15,家005,94.4
2025-04-15,家006,18.24
2025-04-15,家007,30.83
2025-04-15,家008,14.31
2025-04-15,家009,40.62
2025-04-15,家010,46.27
2025-04-15,家011,35.09
2025-04-15,家012,83.79
2025-04-15,家013,43.07
2025-04-15,家014,34.47
2025-04-15,家015,58.42
2025-04-15,家016,22.35
2025-04-15,家017,82.4
2025-04-15,家018,17.87
2025-04-15,家019,93.28
2025-04-15,家020,81.14
2025-04-15,家021,26.54
2025-04-15,家022,10.35
2025-04-15,家023,86.12
2025-04-15,家024,73.76
2025-04-15,家025,73.17
2025-04-15,家026,77.71
2025-04-15,家027,17.0
2025-04-15,家028,41.34
2025-04-15,家029,20.56
2025-04-15,家030,87.8
2025-04-15,家031,64.8
2025-04-15,家032,42.34
2025-04-15,家033,16.02
2025-04-15,家034,35.68
2025-04-15,家035,39.49
2025-04-15,家036,74.16
2025-04-15,家037,69.1
2025-04-15,家038,87.71
2025-04-15,家039,52.32
2025-04-15,家040,21.08
2025-04-15,家041,76.12
2025-04-15,家042,75.65
2025-04-15,家043,59.91
2025-04-15,家044,78.26
2025-04-15,家045,53.37
2025-04-15,家046,60.07
2025-04-15,家047,49.07
2025-04-15,家048,11.82
2025-04-15,家049,20.25
2025-04-15,数000,13.65
2025-04-15,数001,69.36
2025-04-15,数002,36.55
2025-04-15,数003,54.96
2025-04-15,数004,95.17
2025-04-15,数005,31.75
2025-04-15,数006,47.56
2025-04-15,数007,79.81
2025-04-15,数008,29.74
2025-04-15,数009,16.9
2025-04-15,数010,32.57
2025-04-15,数011,23.76
2025-04-15,数012,92.96
2025-04-15,数013,79.63
2025-04-15,数014,70.29
2025-04-15,数015,84.64
2025-04-15,数016,81.24
2025-04-15,数017,26.9
2025-04-15,数018,94.24
2025-04-15,数019,56.02
2025-04-15,数020,85.55
2025-04-15,数021,90.68
2025-04-15,数022,37.48
2025-04-15,数023,20.18
2025-04-15,数024,30.7
2025-04-15,数025,47.57
2025-04-15,数026,83.8
2025-04-15,数027,86.45
2025-04-15,数028,10.66
2025-04-15,数029,57.08
2025-04-15,数030,49.83
2025-04-15,数031,28.88
2025-04-15,数032,22.12
2025-04-15,数033,38.02
2025-04-15,数034,94.43
2025-04-15,数035,39.78
2025-04-15,数036,57.17
2025-04-15,数037,71.9
2025-04-15,数038,42.46
2025-04-15,数039,96.02
2025-04-15,数040,94.91
2025-04-15,数041,33.49
2025-04-15,数042,55.34
2025-04-15,数043,36.31
2025-04-15,数044,36.6
2025-04-15,数045,13.44
2025-04-15,数046,66.44
2025-04-15,数047,56.28
2025-04-15,数048,14.27
2025-04-15,数049,34.49
2025-04-15,服000,93.8
2025-04-15,服001,32.14
2025-04-15,服002,23.03
2025-04-15,服003,54.24
2025-04-15,服004,102.49
2025-04-15,服005,31.22
2025-04-15,服006,71.65
2025-04-15,服007,78.07
2025-04-15,服008,31.18
2025-04-15,服009,78.03
2025-04-15,服010,44.17
2025-04-15,服011,68.54
2025-04-15,服012,69.64
2025-04-15,服013,58.26
2025-04-15,服014,18.5
2025-04-15,服015,84.38
2025-04-15,服016,39.25
2025-04-15,服017,26.68
2025-04-15,服018,13.71
2025-04-15,服019,64.31
2025-04-15,服020,69.24
2025-04-15,服021,12.21
2025-04-15,服022,54.4
2025-04-15,服023,29.28
2025-04-15,服024,70.43
2025-04-15,服025,26.3
2025-04-15,服026,73.54
2025-04-15,服027,45.65
2025-04-15,服028,94.27
2025-04-15,服029,21.77
2025-04-15,服030,40.79
2025-04-15,服031,19.8
2025-04-15,服032,95.95
2025-04-15,服033,88.57
2025-04-15,服034,32.39
2025-04-15,服035,68.73
2025-04-15,服036,84.59
2025-04-15,服037,58.95
2025-04-15,服038,56.25
2025-04-15,服039,32.0
2025-04-15,服040,18.51
2025-04-15,服041,89.37
2025-04-15,服042,89.75
2025-04-15,服043,67.45
2025-04-15,服044,38.75
2025-04-15,服045,39.68
2025-04-15,服046,73.71
2025-04-15,服047,90.16
2025-04-15,服048,90.68
2025-04-15,服049,83.74
2025-04-16,食000,43.92
2025-04-16,食001,95.77
2025-04-16,食002,76.5
2025-04-16,食003,60.63
2025-04-16,食004,25.37
2025-04-16,食005,24.17
2025-04-16,食006,14.83
2025-04-16,食007,87.46
2025-04-16,食008,63.2
2025-04-16,食009,78.94
2025-04-16,食010,12.22
2025-04-16,食011,96.04
2025-04-16,食012,89.18
2025-04-16,食013,29.12
2025-04-16,食014,27.2
2025-04-16,食015,28.03
2025-04-16,食016,37.22
2025-04-16,食017,54.64
2025-04-16,食018,47.61
2025-04-16,食019,35.85
2025-04-16,食020,67.74
2025-04-16,食021,23.44
2025-04-16,食022,38.96
2025-04-16,食023,43.03
2025-04-16,食024,52.4
2025-04-16,食025,84.65
2025-04-16,食026,29.57
2025-04-16,食027,59.4
2025-04-16,食028,62.88
2025-04-16,食029,13.57
2025-04-16,食030,58.61
2025-04-16,食031,25.31
2025-04-16,食032,15.39
2025-04-16,食033,97.88
2025-04-16,食034,99.29
2025-04-16,食035,87.22
2025-04-16,食036,37.5
2025-04-16,食037,17.63
2025-04-16,食038,68.72
2025-04-16,食039,51.64
2025-04-16,食040,20.28
2025-04-16,食041,55.41
2025-04-16,食042,13.63
2025-04-16,食043,91.59
